link,name,desc
https://jobs.dou.ua/companies/uklon/vacancies/352365/?from=list_hot,"Pricing Management Lead в Uklon, Київ | DOU","
Uklon — продуктова IT-компанія, що розробляє провідний райд-хейлінг сервіс. Щодня потужна команда Uklon прокачує одну з найбільших інфраструктур на ринку України та за її межами, забезпечуючи взаємодію драйверів та райдерів.
Ми створюємо highload продукт, за яким ховаються амбітні технологічні челенджі, безперервні інновації та неочевидні ходи. Наш фреймворк роботи — тестувати нові гіпотези, пушити свої ідеї та використовувати останній стек технологій.
Приєднуйся до нас у ролі Pricing Management Lead
Hiring process: Знайомство, тестове завдання та технічна зустріч.Деталі щодо того, як познайомитися з нашою командою дізнавайся у Віталні, Recruiter

Що ми пропонуємо саме для цієї ролі:можливість очолити стратегічний напрямок ціноутворення та безпосередньо впливати на юніт-економіку Uklon на міжнародних ринках• можливість керувати балансом попиту та пропозиції в реальному часі для мільйонів користувачів• тісна співпраця з командами Marketing, Ops, Support,Data Science, Corporate Rides, Product team та можливість ділитись експертизою з професійним комʼюніті колег• доступ до всіх інноваційних ресурсів та інструментів • стати частиною команди, яка створює один із найтехнологічніших продуктів у сфері райдхейлінгу • працювати в компанії, що входить до міжнародної групи VEON, представленої у сферах телекомунікацій, фінтеху, мобайл, стримінгу, хелзкеір тощо• бачити прямий вплив своєї роботи на розвиток економіки країни та суспільства• прозору система зростання в компанії, своєчасний та регулярний Performance Review• бонус при виконанні цілей компанії• культуру компанії, в якій кожен є значущим і цінним та має вплив на процеси
Як саме ти можеш впливати на розвиток компанії:• управління ціновою стратегією: Розробка та детальне налаштування структури тарифів для різних категорій (Comfort, Business, NPI), міст ринків експансії• стратегічний моніторинг та Competitive Intelligence: Глибокий аналіз стратегій конкурентів та розробка тактичних планів реагування, що виходять за рамки простого копіювання ціни• володіння ключовими метриками (P&L Impact): Пряма відповідальність за середній чек (AOV), конверсію в замовлення (C2P) та загальну прибутковість замовлень• управління динамічним ціноутворенням (Surge/Multipliers): Налаштування системи коефіцієнтів та алгоритмів балансування попиту і пропозиції; формування ТЗ для команди Data Science на покращення алгоритмів• контроль Unit-економіки: Моніторинг та утримання цільових показників доходу водія та операційної рентабельності кожного замовлення• управління еластичністю попиту: Проведення досліджень та тестів для визначення чутливості клієнтів (Riders) до ціни та водіїв (Drivers) до змін у доході• аналіз ефективності (Post-implementation Review): Регулярний аудит впроваджених змін, оцінка їхнього впливу на бізнес-показники та підготовка звітів для топменеджменту• крос-функціональне лідерство (Squad Management): Координація роботи «скваду» (Marketing, Ops, Support, Product, Engineering) для реалізації високоефективних цілей у сфері прайсингу.• масштабування на нові ринки (Expansion) та нові бізнес-напрямки компанії: Забезпечення автономними прайсінг-спеціалістами нові напрямки, їх онбординг та супровід на початковому етапі роботи• управління та розвиток команди: Формування сильної аналітичної експертизи всередині команди Pricing, постановка OKR та менторство підлеглих • комунікаційна стратегія: Розробка логіки та принципів комунікації цінових змін для користувачів та партнерів, щоб мінімізувати репутаційні ризики

Челенджі на 3 місяці: • зануритись у поточну модель ціноутворення, включаючи структуру тарифів, логіку динамічного прайсингу та ключові драйвери P&L, і сформувати цілісне бачення системи• провести аудит ключових метрик (AOV, C2P, маржинальність, driver earnings) та визначити основні точки росту і проблемні зони• проаналізувати конкурентне середовище та сформувати рекомендації щодо покращень в рамках поточної pricing-стратегії бізнесу• пропрацювати системний процес експериментів у pricing (гіпотези, пріоритизація, оцінка ефекту) та взаємодії з Data Science• провести перші дослідження та/або тести еластичності попиту та пропозиції для формування більш точних pricing-рішень• налаштувати governance модель роботи з локальною командою в Узбекистані, включаючи розподіл відповідальності, процес прийняття рішень і регулярну комунікацію• запланувати перші ключові ініціативи в pricing та забезпечити регулярний моніторинг їх впливу на бізнес і підготовку аналітики
Челенджі на 6 місяці: • повністю пройти онбординг у бізнес, продукт та процеси компанії, включаючи глибоке розуміння існуючої моделі ціноутворення, метрик, інструментів і взаємодії між командами.• підвищити ефективність pricing-функції через оптимізацію існуючих процесів і впровадження автоматизації, що зменшує ручні операції та прискорює впровадження змін• покращено процес експериментів у pricing (pipeline гіпотез, пріоритизація, стандарти оцінки), та запущено ряд тестів з вимірюваним бізнес-ефектом• забезпечити прозорість роботи pricing-юніту через зрозумілі дашборди, регулярну звітність та доступність ключових метрик для стейкхолдерів• побудувати ефективну взаємодію з крос-функціональними командами та локальними командами (чіткі ролі, відповідальність, процеси прийняття рішень)• досягти вимірюваного покращення ключових бізнес-метрик (AOV, C2P, driver earnings) через впровадження контрольованих pricing-ініціатив
Для досягнення результатів, тобі знадобляться:• досвід в управлінні ціноутворенням. Розуміння стратегій максимізації доходу (досвід з механікою Dynamic Pricing буде перевагою) • досвід менеджменту команд аналітиків, вміння ставити цілі та розвивати тіммейтів• досвід планування та досягнення ключових бізнес-метрик напряму • сильні аналітичні здібності та досвід роботи з великими масивами даних. Вміння перетворювати цифри на бізнес-інсайти та стратегічні рішення• впевнене володіння інструментами аналізу та візуалізації даних (просунутий Excel, досвід із SQL, Tableau/Power BI або аналогічними інструментами буде перевагою)• здатність приймати самостійні рішення в умовах високої невизначеності та нести відповідальність за фінальний результат• сильні аналітичні здібності, вміння аналізувати великі масиви даних та знаходити інсайти• сильні комунікативні навички для ефективної співпраці з крос-функціональними командами (Product, Data Science, Marketing, Ops)• English — B2+ 

Як ти регулюєш свій робочий час?• гнучкий графік з урахуванням функціоналу• days off зі збереженням винагороди: 20 на особисті потреби, ще 1 з нагоди дня народження, 10 через хворобу, до 8-ми за донацію крові
Як ти будеш прокачувати свої скіли в Uklon?• внутрішній обмін знаннями, програми менторства та тренінги з розвитку soft та hard skills• отримання профільних сертифікацій для ІТ-експертів• корпоративна бібліотека та підписки на інформаційні ресурси• персональний/командний бюджет на навчання• корпоративні знижки та компенсація English lessons• long-term навчання для керівників
Care and support:• медичне страхування в Україні• оплачувані сесії з психотерапевтами Pleso• забезпечення своїх бійців в ЗСУ амуніцією та медикаментами• гейміфікації, подарунки, розіграші та знижки від партнерів• спортивні заходи та корпоративні тімбілдінги• wellness programs (воркшопи емоційної підтримки)• тижні масажу в офісі в Києві• промокоди на поїздки з Uklon
Regular Sport Activities:• Uklon Football щотижня• Uklon Online Yoga щотижня• корпоративні знижки, часткова компенсація занять спортом
Corporate social responsibilityUklon соціально відповідальний бізнес і входить в ТОП-10 найбільших донаторів на підтримку сил оборони та гуманітарні ініціативи серед українського бізнесу в секторі ІТ та телекомунікацій. З початку повномасштабного вторгнення сума фінансових внесків компанії та її засновників на підтримку Сил оборони, соціальні ініціативи та благодійні проєкти склала понад 339 мільйонів гривень.А щоб залучити до благодійності спільноту райдерів Uklon, у застосунок додали функції разового та регулярного донату. 
Якщо ти шукаєш драйвову та амбіційну продуктову компанію, орієнтовану на розвиток та світову експансію, зацікавлений у використанні новітніх технологій та готовий далі підвищувати свою експертизу, приєднуйся до команди Uklon.
Перед поданням заявки на відкриту позицію в Uklon, будь ласка, ознайомтеся з Умовами обробки та захисту персональних даних кандидатів. Надсилаючи нам свої персональні дані, зокрема ті, що містяться у вашому резюме, ви даєте згоду на обробку персональних даних відповідно до цих Умов.
*Ми розуміємо, як важливо отримати зворотний зв’язок, і прагнемо надати його протягом 7 робочих днів. Якщо відповіді не було — не засмучуйся: просто цього разу метч не відбувся. Ми щиро вдячні за твій крок назустріч і віримо, що твій досвід ще обов’язково зустрінеться з майбутньою роллю в Uklon

"
https://jobs.dou.ua/companies/intellias/vacancies/353817/?from=list_hot,"Data Science Engineer в Intellias, віддалено | DOU","
Our client is a company that enables people, enterprises, and cities to harness the power of location. By making sense of the world through the lens of location, it empowers their customers to achieve better outcomes from helping a city manage its infrastructure or an enterprise optimize its assets to delivering drivers to their destination safely.What project we have for youAbout the Tour Planning Product Join us in tackling one of the most fascinating challenges in logistics: the Vehicle Routing Problem (VRP).Our client’s Tour Planning solution is the engine behind multi-vehicle route optimization, empowering businesses to design smarter, faster, and more driver-friendly tours.They harness precise and up-to-date map data, real-time traffic insights, road restrictions, and driver preferences to craft tours that are both efficient and practical. The mission is to transform complexity into clarity — delivering solutions that reduce travel time, cut costs, and keep logistics operations running smoothly.Their algorithms factor in every critical detail — driver preferences, delivery time windows, vehicle capacities, and compliance requirements — ensuring that every plan is efficient and meets all constraints. This holistic approach drives cost savings, delivery accuracy, and driver satisfaction while supporting sustainable and compliant operations.If you’re passionate about solving real-world problems at scale, developing sophisticated algorithms, and pushing the boundaries of logistics technology, this opportunity is for you.About the Team You will join a diverse, passionate team of experts focused on solving complex logistics challenges and delivering impactful solutions. The team values quality, innovation, and continuous improvement.The tech stack includes Rust, Kotlin, Python, AWS, Docker, Kubernetes, and Terraform — empowering the development of scalable, high-performance systems.As a key contributor, you will advocate for end users, define quality standards, and help deliver solutions that make a real difference.What you will doPosition Focus:Shift from classic test automation to data-driven evaluation and algorithm quality assurance.Build and maintain end-to-end evaluation pipelines for optimization outputs, define robust statistical quality metrics, and implement monitoring and alerting for production algorithms.Combine software engineering-in-test practices with deep data-analysis skills to validate complex optimization systems and ensure reliable, measurable product behavior.Work closely with engineering and product teams to operationalize validation, improve algorithm robustness, and drive continuous improvement of the Tour Planning product.In this role, you will:Design, build, and maintain end-to-end evaluation pipelines for algorithmic outputs (ingest, transform, score, aggregate, visualize).Define and own KPI-based validation frameworks for optimization performance (distance/cost reduction, SLA adherence, load balancing, constraint violations, solution feasibility).Implement statistical and quantitative validation methods to assess algorithm quality.Develop dashboards and monitoring systems to track model/algorithm health, performance trends, and anomalies; create alerts for significant quality degradations.Perform root-cause analyses on detected issues: analyze SHAP/feature attributions, distribution shifts, data pipeline problems, and model behavior changes.Collaborate with engineers to instrument production systems, integrate evaluation hooks, and operationalize data-driven rollouts and canary tests.Produce clear, actionable reports and visualizations for product and engineering stakeholders; recommend mitigations and validation-driven improvements.Assist in advancing validation methodology beyond rule-based checks: introduce probabilistic metrics, uncertainty quantification, and robust statistical controls.Collaborate with engineering teams on best practices for data-driven validation and monitoring.What you need for this Bachelor’s or Master’s degree in Data Science, Statistics, Computer Science, Applied Mathematics, Operations Research, or a related field — or equivalent practical experience.3–5+ years of hands-on experience in data science, algorithm evaluation, ML model validation, or analytics within a product/engineering team.Strong Python proficiency for data engineering, analysis, scripting, and automation (comfortable with NumPy, Pandas, scikit-learn or equivalent).Solid statistical foundations: hypothesis testing, confidence intervals, bias/variance trade-off, calibration, and A/B testing principles.Proven ability to design and implement end-to-end evaluation pipelines and translate results into actionable product requirements.Experience working with large datasets; familiarity with ETL/feature pipelines and batch or near-real-time data processing.Demonstrable experience building dashboards and monitoring systems to track model/algorithm quality and key performance indicators.Strong communication skills and the ability to present quantitative findings clearly to engineering and product stakeholders. Required skills:Python for data analysis and automation (NumPy, Pandas, scikit-learn or equivalent).Statistical analysis and applied inference (hypothesis testing, confidence intervals).Design and implementation of evaluation frameworks: metrics definition, backtesting strategies, cross-validation, and error analysis.Experience validating algorithmic outputs quantitatively (rather than rule-based assertions) and designing KPI-based validation for optimization systems (e.g., distance reduction, SLA adherence, constraint violations).Hands-on experience with large datasets (data cleaning, aggregation, ETL).Experience creating visualizations and dashboards to communicate model/algorithm quality (Plotly/matplotlib/seaborn).Ability to program full pipelines: data ingestion → processing → evaluation → reporting/alerting.Collaborative mindset: work effectively with developers, QA, and product managers; translate analyses into practical recommendations.Preferred skills:Prior experience validating optimization algorithms, combinatorial solvers, or routing/VRP-related systems; exposure to logistics/location-based products.Experience with experimentation frameworks and causal inference basics for evaluating changes in algorithms or heuristics.Cloud and deployment familiarity (AWS, Docker, Kubernetes) and experience deploying data pipelines or monitoring services.Experience with interactive visualization/dashboard frameworks (Plotly/Dash, Streamlit, Tableau, Power BI).Background in operations research, applied mathematics, or statistics.Exposure to GIS data, mapping workflows, or spatial analysis.Knowledge of Rust or Kotlin (useful for cross-team collaboration) — not required.What it’s like to work at IntelliasAt Intellias, where technology takes center stage, people always come before processes. By creating a comfortable atmosphere in our team, we empower individuals to unlock their true potential and achieve extraordinary results. That’s why we offer a range of benefits that support your well-being and charge your professional growth.We are committed to fostering equity, diversity, and inclusion as an equal opportunity employer. All applicants will be considered for employment without discrimination based on race, color, religion, age, gender, nationality, disability, sexual orientation, gender identity or expression, veteran status, or any other characteristic protected by applicable law.We welcome and celebrate the uniqueness of every individual. Join Intellias for a career where your perspectives and contributions are vital to our shared success.
"
https://jobs.dou.ua/companies/glovo/vacancies/321189/?from=list_hot,"Data Analyst в Glovo, Київ, віддалено | DOU","
If you’re here, it’s because you’re looking for an exciting ride. A ride that will fuel up your ambitions to take on a new challenge and stretch yourself beyond your comfort zone. We’ll deliver a non-vanilla culture built on talent, where we work to amplify the impact on millions of people, paving the way forward together. Not your usual app. We are the fastest-growing multi-category app connecting millions of users with businesses, and couriers, offering on-demand services from more than 170,000 local restaurants, grocers and supermarkets, and high street retail stores. We operate in more than 1500 cities across 23 countries. Together we revolutionise the way people connect with their everyday needs, from delivering essentials to connecting our ecosystem of users through innovative solutions powered by technology. For us, every day is filled with purpose.What makes our ride unique? 🤝 Our culture and strong values. 💪 Our career development philosophy. 🤝 Our commitment to being a force for good. We have a vision: Building the largest marketplace in your city, to give access to anything in minutes. And this is where your ride starts.YOUR MISSIONJoin us as a Senior Partner Operations Analyst and become a key member of Glovo’s local Ops team! You’ll play a crucial role in leveraging data to optimize our partner ecosystem, driving efficiency and improving overall performance. We offer a challenging and dynamic environment with many opportunities for learning and development.THE JOURNEYConduct in-depth data analysis to identify trends, opportunities and pain points within Partner OperationsGenerate actionable insights from complex datasets to inform strategic decisions and operational improvements for our partners.Develop and maintain dashboards and reports to track key performance indicators (KPIs) and operational metrics related to partner performance.Identify and communicate important insights to relevant stakeholders, influencing changes that enhance partner efficiency and satisfaction.Utilize data to support the establishment of excellent relationships with Glovo’s partners, demonstrating data-backed value and building engagement.Work alongside and communicate effectively with all other teams involved in partner success to ensure a data-driven approach.WHAT YOU WILL BRING TO THE RIDEAdvanced knowledge of SQL.Expert-level skills in Google Spreadsheets is a must.Experience with Looker or similar platforms (e.g., Tableau, Power BI) is highly desirable.Professional English proficiency.You can clearly articulate complex analytical findings to both technical and non-technical audiences.You’re passionate about diving deep into data, identifying root causes, and extracting meaningful insights.You’re comfortable working with KPIs and OKRs, and you have a proven track record of using data to drive decisions.You are independent and take initiative in identifying and pursuing analytical opportunities.An empathetic, inclusive, and curious attitude that drives continuous learning and improvement.Individuals representing diverse profiles, and abilities, encompassing various genders, ethnicities, and backgrounds, are less likely to apply for this role if they do not possess solid experience in 100% of these areas. Even if it seems you don’t meet our musts don’t let it stop you, we are all about finding the best talent out there! Skills can be learned, and embracing diversity is invaluable.We believe driven talent deserves:🌟 An enticing equity plan that lets you own a piece of the action.💪 Top-notch private health insurance to keep you at your peak.🍔 Monthly Glovo credit to satisfy your cravings!🏊 Discounted gym memberships to keep you energized.🧠 Online therapy and wellbeing benefits to ensure your mental well-being.Here at Glovo, we thrive on diversity, we believe it enhances our teams, products, and culture. We know that the best ideas come from a mashup of brilliant diverse minds. This is why we are committed to providing equal opportunities to talent from all backgrounds — all genders, racial/diverse backgrounds, abilities, ages, sexual orientations and all other unique characteristics that make you YOU. We will encourage you to bring your authentic self to work, fostering an inclusive environment where everyone feels heard. Feel free to note your pronouns in your application (e.g., she/her/hers, he/him/his, they/them/theirs, etc).So, ready to take the wheel and make this the ride of your life? 
"
https://jobs.dou.ua/companies/silpo/vacancies/344730/,"Middle Data Scientist (Operations Digital Twin) в Сільпо, Київ, віддалено | DOU","
Fozzy Group is one of the largest trade industrial groups in Ukraine and one of the leading Ukrainian retailers, with over 700 outlets all around the country. It is also engaged in e-commerce, food processing & production, agricultural business, parcel delivery, logistics and banking. The Foodtech team is looking for a Data Scientist to develop the Operational Analytics function for a fast growing food delivery business. In this role, you will focus on time series forecasting, regression modeling, simulation modeling, and end-to-end machine learning pipelines to support resource planning and operational decision-making.You will be responsible for developing simulation-based models that serve as a foundation for a digital twin of operational processes, enabling scenario analysis, stress testing, and what-if simulations for capacity planning and operational optimization.You will work closely with product, engineering, and operations teams to transform data into measurable business impact through production-ready ML and simulation solutions. Job Responsibilities:Develop and implement time series forecasting models for resource planning (demand, capacity, couriers, delivery slots, operational load);Build regression and machine learning models to explain key drivers and support operational decisions;Apply a wide range of time series approaches from classical models (SARIMA, ETS, Prophet) and ML models (GB) to modern Deep Learning models (LSTM, Temporal CNNs, Transformers for TS);Design, build, and maintain end-to-end automated ML pipelines, deploy and operate models in production using AWS SageMaker;Orchestrate training and inference workflows with Apache Airflow;Analyze large-scale operational datasets and convert results into insights, forecasts, and actionable recommendations;Collaborate with product managers, engineers, and operations teams to define business problems and validate analytical solutions;Monitor model performance, forecast stability, and business impact over time.Requirements:Bachelor’s Degree in Mathematics / Engineering / Computer Sciences / Quantitative Economics / Econometrics;Strong mathematical background in Linear algebra, Probability, Statistics & Optimization Techniques;At least 2 years working experience on Data Science;Experience of the full cycle of model implementation (data collection, model training and evaluation, model deployment and monitoring);Ability to work independently, proactively, and to decompose complex problems into actionable tasks. Skills:Strong proficiency in Python with solid application of object-oriented programming (OOP) principles (modular design, reusable components, maintainable code);Solid experience in time series forecasting and regression modeling;Practical knowledge of:o Classical and ML forecasting techniques;o Statistical methods (hypothesis testing, confidence intervals, A/B testing);Advanced SQL skills (window functions, complex queries);Experience building automated ML pipelines;Understanding of MLOps principles (model versioning, monitoring, CI/CD for ML). Nice to have:Hands-on experience with AWS SageMaker (training jobs, endpoints, model registry);Experience with Apache Airflow for data and ML workflow orchestration;Knowledge of Reporting and Business Intelligence Software (Power BI, Tableau);Experience working with large-scale production data systems. What We Offer:Competitive salary;Professional & personal development opportunities;Being part of dynamic team of young & ambitious professionals;Corporate discounts for sport clubs and language courses;Medical insurance package.
"
https://jobs.dou.ua/companies/artellence/vacancies/358157/,"Strong junior or middle Data scientist в Artellence, Київ, віддалено | DOU","
ПРО КОМПАНІЮDriving the age of AI. Наша мета — наближати еру штучного інтелекту, а сфера, в якій ми долучилися до AI-революції — OSINT (розвідка за відкритими даними).Створюємо власні потужні технології. Біометрична ідентифікація, аналіз об’єктів на фото, дослідження цифрового сліду в мережі, AI-агенти — наші рішення, які застосовуються в розслідувальній діяльності правоохоронних органів, при оцінці потенційно ризикових зв’язків в державних тендерах, та найбільшими компаніями України для захисту від зовнішніх й внутрішніх загроз.Робимо суспільний внесок. Організовуємо власні OSINT-конференції та хакатони міжнародного рівня, співпрацюємо з DefenseTech об’єднанням Brave1, МінЦифрою та програмами ЄС для пришвидшення розвитку передових технологій в Україні.Детальніше про Artellence. Сайт: artellence.com, відгуки співробітників: jobs.dou.ua/companies/artellence/reviews.ПРО КУЛЬТУРУСтворюємо те, що має значення. Наші технології сприяють підвищенню прозорості та безпеки України й українського суспільства.Будуємо команду A-players. Ми працюємо з тими, хто має потенціал стати найкращим на своїй позиції, і допомагаємо його реалізувати через складні цікаві задачі та менторство.Максимізуємо інновації. Наші співробітники працюють з найсучаснішими AI-технологіями, а залучення нових інструментів та підходів — максимально заохочується.Дотримуємося гнучкості. Працюємо у віддаленому форматі із гнучким графіком, відсутністю бюрократії та мікроменеджменту.Створюємо рівні можливості. Ми відкриті до співпраці з ветеранами та людьми з інвалідністю, створюючи належне середовище, де головним критерієм успіху є виключно кваліфікація.Підтримуємо бронювання. Ключовим співробітникам сприяємо в оформленні документів для бронювання.ПРО ПОЗИЦІЮВимоги:Досвід DS/MLE від 2 роківМатематичний бекграунд: вища математична освіта (КПІ ІПСА, МехМат Шевченко тощо), бажано олімпіадний досвідГлибокі знання алгоритмів і структур даних, глибоке розуміння ООП, глибокі теоретичні та практичні знання машинного та глибокого навчанняПрактичний досвід вирішення NLP та Tabular Data ML задачВисокий рівень володіння Python, включаючи досвід роботи з бібліотеками машинного навчання і володіння принаймні одним із фреймворків глибокого навчання (Tensorflow, Keras, PyTorch)Вміння писати чистий, підтримуваний та ефективний код, готовий до productionВміння трансформувати бізнес-вимоги у технічні завдання для ML-рішеньДосвід feature engineeringДосвід роботи з Git та DockerДосвід роботи з базами даних (SQL/NoSQL) для отримання та підготовки даних для моделейБуде плюсом:Досвід вирішення CV завданьДосвід успішних виступів на хакатонах/KaggleДосвід роботи з Airflow на рівні запуску та моніторингу завданьРозуміння принципів паралелізму в Python та досвід роботи з відповідними бібліотекамиПриклади задач:Підвищення точності поточних CV, NLP та інших моделейРозробка нових моделей з нуля: від R&D та feature engineering до валідаціїАналіз великих обсягів даних для пошуку інсайтів та формулювання гіпотез для моделювання
"
https://jobs.dou.ua/companies/mono/vacancies/344875/,"AI/Data Science Engineer (monoмаркет) в mono, Київ, Дніпро, за кордоном, віддалено | DOU","
mono — мультипродуктова компанія з України. Із 2017 року мільйони людей муркочуть від наших продуктів: monobank, Expirenza, Base, monoбізнес... Прагнемо створити ще більше для нашої екосистеми.Ти станеш AI Engineer у великій e-com платформі з мільйонною аудиторією. Це можливість задавати технічний вектор і реально впливати на продукт. У нас уже працює AI-рішення для генерації карток товарів, і ми готові масштабувати його далі 🚀Тебе чекають виклики у пошуку, ранжуванні, модерації контенту, персоналізації та нових бізнес-фічах. Твої моделі щодня працюватимуть для мільйонів користувачів, а ти зможеш бачити свій внесок у продукт.Нумо втілювати амбітні ідеї разом 🐾Про тебе:— глибоко розумієш алгоритми і концепції ML— маєш досвід використання deep learning для вирішення задач NLP— знаєш і активно працюєш з Generative AI (Prompt Engineering, Fine-Tuning, RAG)— користуєшся такими сервісами, як Amazon Bedrock, OpenAI або Anthropic— бездоганно знаєш Python для ML— маєш навички запитів і маніпулювання великими наборами даних за допомогою SQL— активно комунікуєш з колегами та просуваєш використанням AI для покращення процесівДодатково зацінимо:— досвід з табличними данимиДовіримо тобі:— побудову ядра AI-системи — від збору даних до запуску моделей у production— розвиток класифікацію, модерацію і генерацію контенту для карток товарів— розробку та впроваджувати алгоритми пошуку та ранжування (collaborative filtering, content-based, hybrid)— роботу з великими мовними моделями (Generative AI, RAG, Prompt Engineering, Fine-Tuning)— запуск та підтримку ML-моделі у продакшн середовищі, проводити A/B тестування— пошук нових можливостей для використання AI у продуктіЯк ми працюємо:— мінімум бюрократії → максимум продакшн-імпакту— можна обирати задачі за інтересом— багато командної роботи, брейнштормів і підтримки— свої GPU-сервери, JupyterHub, повне продакшн-середовище з усім потрібним стекомВід себе гарантуємо:— гідну винагороду та її регулярний перегляд за результатами— гнучкий графік роботи без трекерів і параної— можливість гібридної роботи чи повністю віддалено— відпустку 18 робочих днів на рік (чи 24 календарних) + 2 дні для форс-мажорів + 6 днів для навчання— оплачувані дей-офи за станом здоров’я — без SMS і лікарняних листів— корпоративні курси інглішу— 100% страхування здоров’я + підтримка менталочки— картку Platinum від monobank і пундики від наших партнерів🇺🇦 Підтримуємо сили оборони України власними зборами, розвиваємо культуру донатерства.
"
https://jobs.dou.ua/companies/uklon/vacancies/352876/,"Data Scientist Middle в Uklon, Київ | DOU","
Uklon — продуктова IT-компанія, що розробляє провідний райд-хейлінг сервіс. Щодня потужна команда Uklon прокачує одну з найбільших інфраструктур на ринку України та за її межами, забезпечуючи взаємодію драйверів та райдерів.
Ми створюємо highload продукт, за яким ховаються амбітні технологічні челенджі, безперервні інновації та неочевидні ходи. Наш фреймворк роботи — тестувати нові гіпотези, пушити свої ідеї та використовувати останній стек технологій.
Приєднуйся до нас у ролі Data Scientist.
Hiring process:Знайомство, тестове завдання (ми цінуємо твою роботу та час, тому ТЗ оплачуємо) та технічна зустріч.

Деталі щодо того, як познайомитися з нашою командою дізнавайся у Лізи, Recruitment Lead
Що ми пропонуємо саме для цієї ролі:• можливість використовувати найсучасніші технології у проєктах використовуючи GPU інфраструктуру • працювати зі стеком: Python, Kafka, Docker, Kubernetes, AWS, GCP, PostgreSQL, Redis, ElasticSearch, Qdrant, Snowflake, PyTorch, Scikit-learn, Dify, MLFlow, AWS Bedrock, Copilot, LLM-моделі (GPT, Gemini, Llama, Claude, Mistral)• мінімум бюрократії між ідеєю та реалізацією• роботу над новими R&D проєктами• роботу з продуктом яким сам користуєшся та бачиш результати своєї роботи• прозору систему зростання в компанії, регулярний performance & salary review• культуру компанії, в якій кожен є цінним, вільно висловлює свої ідеї та має вплив на процеси• річний бонус при виконанні цілей компанії
Як саме ти можеш впливати на розвиток компанії:• розробляти та впроваджувати нові методи та моделі машинного навчання для оптимізації роботи сервісу• аналізувати та збирати дані для покращення ефективності та оптимізації процесів• брати участь в розробці та впровадженні нових продуктів та сервісів• підвищувати ефективності моделей та алгоритмів, розроблених раніше• взаємодіяти з іншими командами та відділами компанії, що займаються розробкою програмного забезпечення, виконанням аналітики даних та іншими функціями• проводити оцінку та аналіз результатів роботи розроблених моделей та алгоритмів, готувати відповідні звіти та презентації для внутрішнього використанняЧеленджі на три місяці:• адаптація в команді та колективі• ознайомлення з існуючою інфраструктурою• успішна перевірка гіпотез із скоупу (прайсинг, маркетинг, CRM, Promo etc)

Для досягнення результатів, тобі знадобляться:• 2+ років комерційного досвіду як data scientist• наявність успішних кейсів інтеграції DS логік у роботу продукту• досвід роботи з Python (статистичні та ML пакети)• експертні знання в SQL• наявність прикладів успішних інсайтів, виявлення неочевидних патернів роботи продукту• знання вищої математики, теорії ймовірностей, математичної та прикладної статистики• English level: B1

Ми, звісно, навчимо, але добре мати:• знання Git та Gitflow Workflow• досвід використання ML serving tools: MLFlow • досвід використання ETLs Tools (one of): Airflow, AWS Glue• досвід роботи з LLM моделямиЯк ти регулюєш свій робочий час?• гнучкий графік з урахуванням функціоналу• days off зі збереженням винагороди: 20 на особисті потреби, ще 1 з нагоди дня народження, 10 через хворобу, до 8-ми за донацію кровіЯк ти будеш прокачувати свої скіли в Uklon?• внутрішній обмін знаннями, програми менторства та тренінги з розвитку soft та hard skills• отримання профільних сертифікацій для IT-експертів• корпоративна бібліотека та підписки на інформаційні ресурси• персональний/командний бюджет на навчання• корпоративні знижки та компенсація English lessons • long-term навчання для керівниківCare and support• медичне страхування в Україні • оплачувані сесії з психотерапевтами Pleso• гейміфікації, подарунки, розіграші та знижки від партнерів• спортивні заходи та корпоративні тімбілдінги• wellness programs (воркшопи емоційної підтримки)• тижні масажу в офісі в Києві• промокоди на поїздки з UklonRegular Sport Activities:• Uklon Football щотижня• Uklon Online & Offline Yoga щотижня• корпоративні знижки, часткова компенсація занять спортом

Corporate social responsibilityUklon соціально відповідальний бізнес і входить в ТОП-10 найбільших донаторів на підтримку сил оборони та гуманітарні ініціативи серед українського бізнесу в секторі ІТ та телекомунікацій. З початку повномасштабного вторгнення сума фінансових внесків компанії та її засновників на підтримку Сил оборони, соціальні ініціативи та благодійні проєкти склала понад 339 мільйонів гривень.
Перед поданням заявки на відкриту позицію в Uklon, будь ласка, ознайомтеся з Умовами обробки та захисту персональних даних кандидатів. Надсилаючи нам свої персональні дані, зокрема ті, що містяться у вашому резюме, ви даєте згоду на обробку персональних даних відповідно до цих Умов.
*Ми цінуємо кожен відгук і прагнемо надати зворотний зв’язок протягом 7 робочих днів. Якщо відповіді не було — не засмучуйся: просто цього разу метч із вакансією не відбувся.Якщо не бачиш листа від нас — перевір, будь ласка, папку «Спам» чи інші вкладки пошти. Іноді наші відповіді потрапляють туди. Дякуємо, що обираєш Uklon. До зустрічі!
▶️Uklon рухає не лише міста, а й кар’єри. 
"
